run_tag,scenario,mode,metric,n,mean,stdev,median,p90,p95
prod-ef8706f-bundle,html,bundle,wall_s,20.0,2.4490927123697475,0.49547484952655013,2.3014223123900592,3.0267443997086962,3.4953686290420594
prod-ef8706f-bundle,html,bundle,slowest_leg_s,20.0,2.448658045893535,0.4955246542283753,2.301076291478239,3.02630432934966,3.494941977481358
prod-ef8706f-bundle,research,bundle,wall_s,20.0,1.7575596583308652,0.07974824268740725,1.7765796040184796,1.8416054832516238,1.8427450184593908
prod-ef8706f-bundle,research,bundle,slowest_leg_s,20.0,1.7570397023227997,0.07973985046001705,1.7761437294539064,1.8410939085064455,1.842209931963589
prod-ef8706f-bundle,alerts,bundle,wall_s,20.0,1.4921912978519685,0.7046333956734008,1.2268876455491409,1.8662014372414002,3.445208347996231
prod-ef8706f-bundle,alerts,bundle,slowest_leg_s,20.0,1.4916961729992182,0.7046304278015408,1.2264950211392716,1.865747816441583,3.4447475690860303
prod-ef8706f-bundle,global,bundle,wall_s,20.0,2.529817118810024,0.2704192787684448,2.557671041460708,2.7621964171994478,2.8624698856147006
prod-ef8706f-bundle,global,bundle,slowest_leg_s,20.0,2.5282635876210406,0.2701733597645057,2.5560122289462015,2.759827528940514,2.8609629773185588
prod-ef8706f-bundle,regulatory,bundle,wall_s,20.0,1.4548619250534103,0.11501285083392694,1.4419303335016593,1.5953406373970211,1.68400717912009
prod-ef8706f-bundle,regulatory,bundle,slowest_leg_s,20.0,1.4537886395351962,0.11499323852667674,1.4411009375471622,1.5945997504983098,1.6830701414612121
prod-ef8706f-bundle,imaging,bundle,wall_s,20.0,2.7899891979643145,0.19267261996732452,2.7441024375148118,3.047774920728989,3.1468777808826416
prod-ef8706f-bundle,imaging,bundle,slowest_leg_s,20.0,2.7876293937209993,0.1927485326843407,2.741328020929359,3.0452726664952934,3.1447376357275063
prod-ef8706f-bundle,scouting,bundle,wall_s,20.0,1.365328991750721,0.07431543649095726,1.3688109165523201,1.4452690581325442,1.488631413062103
prod-ef8706f-bundle,scouting,bundle,slowest_leg_s,20.0,1.364848020824138,0.07434086667715259,1.368324312614277,1.4447605546796696,1.488136043213308
prod-ef8706f-isolated,/,isolated,request_s,12.0,2.2826618543670825,0.14183385813975638,2.290338395978324,2.370770736923441,2.4564576161443252
prod-ef8706f-isolated,/api/research/history?limit=50,isolated,request_s,12.0,1.7560210902593099,0.26961136603543834,1.6876882709329948,1.9633055754471571,2.2177462729741815
prod-ef8706f-isolated,/api/alerts,isolated,request_s,12.0,1.144980242960931,0.061652669712818846,1.137815061956644,1.2146688789129256,1.23869485843461
prod-ef8706f-isolated,/api/news-intel/facets,isolated,request_s,12.0,1.268568253396855,0.16681192022322766,1.2342140205437317,1.5015854618977755,1.5076919725281186
prod-ef8706f-isolated,/api/news-intel/stats,isolated,request_s,12.0,1.6875508263280306,0.20123617392159623,1.6374142289860174,1.93956055380404,1.942288464331068
prod-ef8706f-isolated,/api/news-intel/articles,isolated,request_s,12.0,1.8343336457619444,0.1888420935766671,1.7772317291237414,2.099079699930735,2.1153935060137883
prod-ef8706f-isolated,/api/market/latest,isolated,request_s,12.0,1.3667806005105376,0.10380802353686738,1.370513750007376,1.522552504320629,1.553008960362058
prod-ef8706f-isolated,/api/regulatory/events?limit=20,isolated,request_s,12.0,1.5245124131712753,0.044585827913440915,1.5168148960219696,1.5504774500848726,1.5902178186574019
prod-ef8706f-isolated,/api/regulatory/provenance,isolated,request_s,12.0,1.3151386354778272,0.05196176679383237,1.308708437369205,1.3798209791071714,1.3910762624349444
prod-ef8706f-isolated,/api/regulatory/rps?limit=10,isolated,request_s,12.0,1.4125605452572927,0.10841159294743943,1.3992580419871956,1.5839064333587884,1.5950983688700944
prod-ef8706f-isolated,/api/regulatory/eia/capacity?limit=10,isolated,request_s,12.0,1.3382118992934313,0.10676249024391014,1.3444162084488198,1.4052492715185507,1.4897698149550704
prod-ef8706f-isolated,/api/regulatory/eia/generation?limit=10,isolated,request_s,12.0,1.3272979201283306,0.06778536864760017,1.3349157713819295,1.419702612119727,1.4279248392209412
prod-ef8706f-isolated,/api/regulatory/rates?limit=10,isolated,request_s,12.0,1.3352240485061582,0.036403129252159945,1.3470328960102051,1.3567663710331543,1.380248598079197
prod-ef8706f-isolated,/api/imaging/config,isolated,request_s,12.0,1.1492050730545695,0.10161727082179939,1.158937958534807,1.2636518210405483,1.2911673984141088
prod-ef8706f-isolated,/api/pipeline/assets,isolated,request_s,12.0,1.4454330938557785,0.07718019232467471,1.4399682505754754,1.521517371176742,1.5651863791979848
prod-ef8706f-isolated,/api/scouting/watchlist,isolated,request_s,12.0,1.428041760402266,0.09312679869332738,1.4744745204225183,1.5054448339389637,1.5202096837456338
prod-ef8706f-isolated,/api/imaging/deposits,isolated,request_s,12.0,3.543535527792604,1.2168498418872877,3.0868473335867748,4.981908591813409,5.92430268737953
prod-ef8706f-isolated,/api/imaging/concessions,isolated,request_s,12.0,1.4604795137614321,0.24160981723735167,1.3569250834407285,1.7335943791549653,1.8810313684633
prod-ef8706f-isolated,/api/imaging/generation,isolated,request_s,12.0,2.8480490937363356,0.5037597719218093,2.643952229525894,3.376609933678992,3.663064854382537
prod-ef8706f-isolated,/api/scouting/items?type=greenfield,isolated,request_s,12.0,1.4015815764238748,0.07622122116804671,1.3910546669503674,1.4354392708744854,1.5093933935160748
